name,address,gu,brand,gas_price,dsel_price,SELF,CWSH,LPG,MAINT,CVS,SEL24,lat,lng
HD현대오일뱅크㈜직영 동작주유소,서울 동작구 상도로 403 (상도동),동작구,HD현대오일뱅크,1609,1574,N,Y,N,N,N,N,37.4934739,126.9565221
성산대교셀프주유소,서울 마포구 성산로 144,마포구,HD현대오일뱅크,1499,1479,Y,Y,N,Y,N,N,37.5642985,126.9093474
청원주유소,서울 마포구 월드컵북로 113 (성산동),마포구,HD현대오일뱅크,1499,1479,Y,Y,N,N,N,N,37.5628018,126.9150832
에쓰오일(주)마포주유소,서울 마포구 마포대로 186 (공덕동),마포구,S-OIL,1569,1529,Y,Y,N,N,N,N,37.5506305,126.9556511
에쓰오일(주) 염리동주유소,서울 마포구 백범로 126 (염리동),마포구,S-OIL,1569,1529,Y,Y,N,N,N,N,37.5462863,126.9448137
(주)안국에너지 망원동주유소,서울 마포구 월드컵로 119 (망원동),마포구,SK에너지,1588,1528,N,Y,N,N,N,N,37.558782,126.9072526
에스에스오토셀프,서울 마포구 서강로 76 (창전동),마포구,HD현대오일뱅크,1609,1569,Y,Y,N,N,N,Y,37.5498337,126.9325724
(주)만성상사 대흥주유소,서울 마포구 대흥로 61 (대흥동),마포구,SK에너지,1609,1569,N,Y,N,N,N,Y,37.5459548,126.9398991
SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),마포구,SK에너지,1649,1609,N,N,N,N,Y,Y,37.5377002,126.946403
SK에너지(주) 안국주유소,서울 마포구 양화로 33,마포구,SK에너지,1669,1629,N,N,N,N,N,Y,37.5493064,126.9126217
(주)가재울뉴타운주유소,서울 서대문구 모래내로 205,서대문구,HD현대오일뱅크,1529,1479,Y,N,N,N,Y,Y,37.5732673,126.9224318
(주)미래아스팔트 신우주유소,서울 서대문구 가좌로 106(홍은동),서대문구,S-OIL,1529,1489,Y,Y,N,Y,N,N,37.5822656,126.9266001
