,상호,주소,가격,셀프,상표,구
273,서남주유소,서울 중구 통일로 30,2611.0,N,SK에너지,중구
274,(주)자연에너지 대창주유소,서울 중랑구 동일로 636 (면목동),1497.0,Y,HD현대오일뱅크,중랑구
275,대원주유소,서울 중랑구 동일로 600,1497.0,Y,GS칼텍스,중랑구
276,면목SELF주유소,서울 중랑구 동일로 627 (면목동),1497.0,Y,SK에너지,중랑구
277,구도일주유소 동천,서울 중랑구 동일로 654 (면목동),1507.0,Y,S-OIL,중랑구
278,대양주유소,서울 중랑구 봉우재로 105 (상봉동),1507.0,Y,GS칼텍스,중랑구
279,우림주유소,서울 중랑구 용마산로 487 (망우제3동),1527.0,Y,GS칼텍스,중랑구
280,오천만주유소,서울 중랑구 동일로 547 (면목동),1527.0,Y,S-OIL,중랑구
281,(주)태영 구도일주유소 한인,서울 중랑구 망우로 170 (상봉동),1547.0,Y,S-OIL,중랑구
282,(주)기지에너지,서울 중랑구 용마산로 716 (신내동),1549.0,N,S-OIL,중랑구
283,신내주유소,서울 중랑구 용마산로 705 (신내동),1563.0,Y,SK에너지,중랑구
284,범아주유소,서울 중랑구 동일로 881 (묵동),1588.0,N,S-OIL,중랑구
285,용마로주유소,서울 중랑구 용마산로 309 (면목동),1588.0,Y,SK에너지,중랑구
286,신일셀프주유소,서울 중랑구 상봉로 58 (망우동),1598.0,Y,SK에너지,중랑구
287,강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),1483.0,Y,SK에너지,강서구
288,(주)타이거오일 방화주유소,서울 강서구 방화동로 58-2 (방화동),1493.0,Y,SK에너지,강서구
289,화곡역주유소,서울 강서구 강서로 154 (화곡동),1494.0,Y,알뜰주유소,강서구
290,목화주유소,서울 강서구 국회대로 251 (화곡동),1494.0,Y,알뜰주유소,강서구
291,스카이주유소,서울 강서구 개화동로 457 (방화동),1495.0,Y,S-OIL,강서구
292,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),1495.0,Y,HD현대오일뱅크,강서구
293,이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),1504.0,Y,HD현대오일뱅크,강서구
294,뉴신정주유소,서울 강서구 곰달래로 207 (화곡동),1504.0,N,알뜰주유소,강서구
295,지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),1505.0,Y,GS칼텍스,강서구
296,유턴주유소,서울 강서구 남부순환로 57,1509.0,Y,알뜰주유소,강서구
297,KH에너지(주)직영 KH외발산주유소,서울 강서구 방화대로 30,1530.0,Y,SK에너지,강서구
298,(주)한진 김포공항주유소,서울 강서구 하늘길 259,1540.0,Y,S-OIL,강서구
299,HD현대오일뱅크㈜직영 양화교셀프주유소,서울 강서구 공항대로 653,1569.0,Y,HD현대오일뱅크,강서구
300,현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),1576.0,N,HD현대오일뱅크,강서구
301,개화주유소,서울 강서구 양천로 57,1577.0,Y,SK에너지,강서구
302,하이웨이주유소,서울특별시 강서구 공항대로 432(화곡동),1579.0,Y,S-OIL,강서구
303,강서열린주유소,서울 강서구 등촌로 213 (등촌동),1588.0,N,GS칼텍스,강서구
304,신화곡주유소,서울 강서구 국회대로 71,1595.0,Y,S-OIL,강서구
305,화곡현대주유소,서울 강서구 강서로 151 (화곡동),1596.0,Y,SK에너지,강서구
306,오션네트웍스(주) 서울식물원지점,서울 강서구 양천로 300,1598.0,Y,SK에너지,강서구
307,대성석유(주) 관문주유소,서울 강서구 공항대로 314,1598.0,N,GS칼텍스,강서구
308,우장산주유소,서울 강서구 강서로 292 (내발산동),1598.0,Y,SK에너지,강서구
309,HD현대오일뱅크㈜직영 가양주유소,서울 강서구  양천로 391 (가양동),1599.0,N,HD현대오일뱅크,강서구
310,대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,1616.0,Y,GS칼텍스,강서구
311,대성석유(주)방화대성주유소,서울 강서구 양천로 176,1616.0,Y,GS칼텍스,강서구
312,세원제1주유소,서울 강서구 양천로 311 (가양동),1628.0,Y,SK에너지,강서구
313,대성주유소,서울 강서구 강서로 472,1638.0,N,GS칼텍스,강서구
314,SK KH에너지 가양주유소,서울 강서구 강서로 498 (가양동),1638.0,N,SK에너지,강서구
315,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,1642.0,Y,S-OIL,강서구
316,코리나(주)청룡주유소,서울 강서구 양천로 576,1678.0,N,SK에너지,강서구
317,박물관주유소,서울 강서구 양천로53길 97 (가양동),1678.0,N,GS칼텍스,강서구
318,참솔에너지,서울 강서구 벌말로 281 (오곡동),1760.0,Y,S-OIL,강서구
319,염창동주유소,서울 강서구 양천로 720 (염창동),1935.0,N,SK에너지,강서구
320,HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97 (신림동),1559.0,N,HD현대오일뱅크,관악구
321,(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,1565.0,N,HD현대오일뱅크,관악구
322,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),1565.0,Y,알뜰주유소,관악구
323,(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),1565.0,Y,SK에너지,관악구
324,HD현대오일뱅크㈜직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),1574.0,Y,HD현대오일뱅크,관악구
325,대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),1575.0,Y,SK에너지,관악구
326,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),1575.0,Y,GS칼텍스,관악구
327,SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),1585.0,N,SK에너지,관악구
328,SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),1585.0,N,SK에너지,관악구
329,현대주유소,서울 관악구 난곡로 108 (신림동),1596.0,N,HD현대오일뱅크,관악구
330,유림주유소,서울 관악구 신림로 176 (신림동),1598.0,N,S-OIL,관악구
331,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),1695.0,N,S-OIL,관악구
332,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),1748.0,N,GS칼텍스,관악구
333,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,1799.0,N,GS칼텍스,관악구
334,태양주유소,서울 광진구 동일로 345 (중곡동),1524.0,N,HD현대오일뱅크,광진구
335,(주)창원CW,서울 광진구 광나루로 460 (화양동),1529.0,Y,HD현대오일뱅크,광진구
336,HD현대오일뱅크㈜직영 능동주유소,서울 광진구 천호대로 584 (능동),1529.0,Y,HD현대오일뱅크,광진구
337,용마주유소,서울 광진구 용마산로 68 (중곡동),1536.0,N,GS칼텍스,광진구
338,대원주유소,서울 광진구 용마산로 122 (중곡동),1536.0,N,S-OIL,광진구
339,HD현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37 (자양동),1538.0,Y,HD현대오일뱅크,광진구
340,HD현대오일뱅크㈜직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),1538.0,Y,HD현대오일뱅크,광진구
341,HD현대오일뱅크㈜직영 중원셀프주유소,서울 광진구 동일로 398 (중곡동),1538.0,Y,HD현대오일뱅크,광진구
342,(주)장수주유소,서울 광진구 동일로 266 (군자동),1547.0,Y,SK에너지,광진구
343,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),1567.0,Y,S-OIL,광진구
344,삼호주유소,서울 광진구 천호대로 809 (광장동),1697.0,Y,S-OIL,광진구
345,유니스에너지 자양주유소,서울 광진구 아차산로 298 (자양동),1698.0,N,SK에너지,광진구
346,강평주유소 ㈜강평텔레콤,서울 광진구 아차산로 616,1798.0,N,SK에너지,광진구
347,서서울고속주유소,서울 구로구 경인로 150 (오류동),1489.0,Y,SK에너지,구로구
348,㈜자연에너지 고척주유소,서울 구로구 고척로 199 (고척동),1489.0,Y,HD현대오일뱅크,구로구
349,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),1489.0,Y,GS칼텍스,구로구
350,(주)서울에너지 궁동주유소,서울 구로구 오리로 1299 (궁동),1490.0,Y,HD현대오일뱅크,구로구
351,씨앤에스유통(주) 구로드림주유소,서울 구로구 경인로 41 (온수동),1490.0,Y,S-OIL,구로구
352,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),1519.0,Y,S-OIL,구로구
353,대원셀프주유소,서울 구로구 개봉로 7,1525.0,Y,HD현대오일뱅크,구로구
354,신성주유소,서울 구로구 구로동로 187 (구로제2동),1539.0,Y,HD현대오일뱅크,구로구
